# EGPT (Earnings Growth Pullback Timing) - 中报预增回踩择时 v1.3.2 - 洗盘修复专题
报告日期: 20260831 | 推送时间: 2026-08-31 19:23

> **说明**: 洗盘修复分=洗盘形态完整度(满分100)，排名仅代表形态标准程度。
> 综合评级(S/A/B)看的是趋势/动量/量价等7个因子综合得分，才是真正的强弱排序。
> 所以修复分高但评级低的(如100分A级)，说明刚启动不久、低吸安全；修复分略低但评级高的(如S级)，说明趋势已确立、确定性更强。

## ✅ 次日可买入（形态回踩中 × 综合风控双确认）

| 股票 | 评级 | 回踩买点分 | 洗盘修复分 | 主题 | 现价 | 止损 |
|------|:----:|:--------:|:--------:|------|:---:|:---:|
| 翱捷科技(688220) | D | 79 | 98 | 半导体 | 102.98 | 91.67 |
| 汉得信息(300170) | D | 77 | 79 | 信创 | 16.97 | 15.16 |
| 澜起科技(688008) | D | 76 | 76 | 半导体 | 204.95 | 181.29 |
| 凌玮科技(301373) | B | 76 | 96 | 化工 | 110.51 | 91.15 |
| 亚辉龙(688575) | B | 76 | 47 | 医疗器械 | 10.27 | 9.07 |
| 新瀚新材(301076) | D | 76 | 83 | 高端材料 | 23.15 | 21.00 |
| 欧科亿(688308) | D | 72 | 95 | 机器人 | 101.51 | 88.07 |
| 福昕软件(688095) | D | 71 | 93 | AI算力 | 63.63 | 57.29 |
| 伯特利(603596) | B | 70 | 34 | 智能驾驶 | 28.07 | 26.24 |
| 云从科技(688327) | D | 70 | 72 | 信创 | 10.53 | 9.55 |
| 志特新材(300986) | D | 70 | 88 | 建筑装饰 | 12.39 | 10.93 |
| 润欣科技(300493) | D | 66 | 78 | 半导体 | 13.29 | 12.33 |
| 汽轮科技(300277) | D | 65 | 30 | 智能制造 | 12.43 | 11.45 |
| 钧崴电子(301458) | D | 64 | 76 | 机器人 | 39.27 | 35.01 |
| 探路者(300005) | D | 63 | 50 | 消费 | 11.10 | 9.61 |
| 清新环境(002573) | D | 63 | 28 | 节能环保 | 3.32 | 3.09 |
| 汉钟精机(002158) | D | 62 | 94 | 军工 | 28.50 | 25.64 |
| 浙农股份(002758) | B | 61 | 31 | - | 8.93 | 8.33 |
| 深圳华强(000062) | D | 61 | 30 | 半导体 | 24.55 | 22.87 |
| 衢州东峰(601515) | D | 60 | 14 | 消费 | 3.50 | 3.24 |
| 晶华新材(603683) | B | 60 | 84 | 化工 | 16.96 | 15.33 |
| 东威科技(688700) | B | 60 | 97 | 高端装备 | 63.74 | 56.31 |
| 滨化股份(601678) | D | 60 | 18 | 化工 | 6.66 | 6.07 |

## 🟡 条件信号（观察转强·需触发确认）

> 评级/业绩/风控均已过关，但形态尚未确认，**非次日直接买点**。
> 需等待回踩VWAP/MA20企稳或放量突破后按 AI 触发方案执行，触发前仅跟踪。

| 股票 | 评级 | 回踩买点分 | 洗盘修复分 | 主题 | 现价 | 止损 | 次日操作 |
|------|:----:|:--------:|:--------:|------|:---:|:---:|:---:|
| 伟星股份(002003) | B | 59 | 22 | - | 11.99 | 11.25 | ⚠️ 观察 |
| 金马游乐(300756) | B | 59 | 77 | 机器人 | 30.64 | 27.70 | ⚠️ 观察 |
| 泰晶科技(603738) | B | 58 | 89 | 智能驾驶 | 39.39 | 33.73 | ⚠️ 观察 |

## 🤖 AI 二次分析 (DeepSeek)

## 一、系统绿灯信号·T+1执行方案

> **组合仓位纪律**：A组合计 ≤ 40%。若多只同时触发，按优先级顺序执行：**翱捷科技 > 汉得信息 > 澜起科技 > 亚辉龙 > 凌玮科技**，前序占用仓位后，后续标的放弃当天买点，不强行满仓。

---

### 1. 翱捷科技（688220）｜核心执行（20%仓位）

| 要素 | 内容 |
### 1.【核心持仓】

#### 芯朋微（688508）｜15%仓位

| 要素 | 内容 |
|---|---|
| ①触发条件 | 回踩**84.09（VWAP）~84.58（MA20）**区间，缩量企稳（分时30分钟不创新低），买入15%。不追高。 |
| ②仓位 | 15% |
| ③止损 | 按84.50元买入，止损设**79.00元**（-6.5%）；若84.09元买入，止损设**78.50元**。盘中触及即卖。 |
| ④止盈 | 第一目标**96.00元**减半；剩余看**109.64元**。 |
| ⑤失效条件 | 放量跌破82.00元（VWAP下方2.5%）；或3个交易日内未回踩到位，作废，不隔日追。 |

#### 洁雅股份（301108）｜15%仓位

| 要素 | 内容 |
|---|---|
| ①触发条件 | 回踩**37.31（VWAP）~38.91（筹码峰）**区间缩量企稳，优先38.91元附近，买入15%。高开>3%不追。 |
| ②仓位 | 15% |
| ③止损 | 按38.50元买入，止损设**36.50元**（-5.2%）；若37.50元买入，止损设**35.60元**。盘中触及即卖。 |
| ④止盈 | 第一目标**43.00元**减半；剩余看**46.38元**。 |
| ⑤失效条件 | 放量跌破37.00元（MA20下方）；或当日未回踩到位，作废。 |

---

### 2.【可参与】

#### 智立方（301312）｜10%仓位（深洗盘警示，降级）

| 要素 | 内容 |
|---|---|
| ①触发条件 | 回踩**75.49元（筹码峰）±1%**缩量企稳，或VWAP 71.00元附近出现明显承接再买。优先75.49元。现价82.11元，若直接放量冲高至85元上方，不追。 |
| ②仓位 | 10% |
| ③止损 | 按75.49元买入，止损设**71.70元**（-5%）；若71.00元买入，止损设**67.50元**。盘中触及即卖。 |
| ④止盈 | 第一目标**88.00元**减半；剩余看**99.91元**。 |
| ⑤失效条件 | 放量跌破70.24元（系统止损）；或5个交易日内未回踩至75.49/71.00元，作废。 |

#### 光韵达（300227）｜10%仓位（仅等回踩，不追高）

| 要素 | 内容 |
|---|---|
| ①触发条件 | 回踩**11.80（VWAP）~11.78（MA20）**区间缩量企稳，买入10%。若股价直接拉离VWAP（>+5%），不追。 |
| ②仓位 | 10% |
| ③止损 | 按11.80元买入，止损设**11.20元**（-5.1%）。盘中触及即卖。 |
| ④止盈 | 第一目标**13.50元**减半；剩余看**15.58元**。 |
| ⑤失效条件 | 放量跌破11.50元；或3个交易日内未回踩至11.80~11.78元，作废。 |

---

### 3.【剔除/回避】

| 标的 | 剔除理由（数据依据） |
|---|---|
| **腾景科技（688195）** | 乖离VWAP **+21.5%**、乖离MA20 **+22.1%**，现价严重透支；回踩未确认，等待VWAP 161.99元需跌约18%，短线赔率被风险抵消，回避。 |
| **康盛股份（002418）** | 乖离VWAP **+22.2%**、乖离MA20 **+34.4%**，严重超买；回踩为“否”，无回踩确认，追高即接盘，**剔除**。 |
| **中煤能源（601898）** | 止盈空间仅+9.5%，赔率不足；且系统止损15.16元 **高于** 回踩VWAP买点14.40元——止损失效矛盾，需重设至13.70元（-5%），但回踩空间达-11%，短线等待成本过高，**剔除**。 |
| **共进股份（603118）** | 乖离VWAP+11.0%、MA20+12.8%，回踩未确认，买点分0；等待VWAP 16.75元距现价约-10%，短线可操作性差，暂剔除，回踩到位再重新评估。 |
| **金百泽（301041）** | 乖离VWAP+15.6%、MA20+15.2%，回踩天数0且未确认；等待VWAP 25.50元距现价约-13.5%，次日难触发，暂剔除。 |
| **华曙高科（688433）** | 乖离VWAP+15.9%、MA20+17.3%，接近超限；等待VWAP 96.18元距现价约-13.7%，短线无法确认买点，暂剔除。 |

---

## 三、C组条件信号（触发式计划，未触发不追）

> C组非直接买点，以下任一触发条件满足后才可执行，且只做一档，不重复加仓。

### 1. 伟星股份（002003）｜10%仓位

| 要素 | 内容 |
|---|---|
| ①触发条件 | **计划A（回踩）**：回踩VWAP 10.75元±1%，缩量企稳（分时30分钟不创新低）→ 买入10%。<br>**计划B（突破）**：放量（量比>2）站稳12.30元（现价+2.6%）→ 买入10%。二选一，不重复。 |
| ②仓位 | 10% |
| ③止损 | 计划A：止损**10.20元**；计划B：止损**11.70元**。盘中触及即卖。 |
| ④止盈 | 第一目标**12.50元**减半；剩余看**13.10元**。 |
| ⑤失效条件 | 跌破筹码峰10.53元且不能收回；或3个交易日内未触发，作废。 |

### 2. 金马游乐（300756）｜10%仓位

| 要素 | 内容 |
|---|---|
| ①触发条件 | **计划A（突破）**：放量（量比>2）突破筹码峰32.07元→ 买入10%。<br>**计划B（回踩）**：回踩VWAP 29.88元附近缩量企稳→ 买入10%。二选一。 |
| ②仓位 | 10% |
| ③止损 | 计划A：止损**30.50元**（-4.9%）；计划B：止损**28.40元**（-5.0%）。 |
| ④止盈 | 第一目标**33.50元**减半；剩余看**35.04元**。 |
| ⑤失效条件 | 跌破29.50元（MA20下方）；或3个交易日内未触发，作废。 |

### 3. 泰晶科技（603738）｜10%仓位

| 要素 | 内容 |
|---|---|
| ①触发条件 | **计划A（突破）**：放量（量比>2）突破筹码峰39.45元→ 买入10%。<br>**计划B（回踩）**：回踩37.27（VWAP）~37.37（MA20）缩量企稳→ 买入10%。二选一。 |
| ②仓位 | 10% |
| ③止损 | 计划A：止损**37.50元**（-5.0%）；计划B：止损**35.50元**（-4.8%）。 |
| ④止盈 | 第一目标**43.00元**减半；剩余看**47.88元**。 |
| ⑤失效条件 | 跌破37.00元且不能收回；或3个交易日内未触发，作废。 |

---

**总纪律**：凡未触发买点，一律不追、不隔日补单。宁可错过，不可做错。

## 附: 精选标的评分表 (S/A + 洗盘修复分≥80 + 无兑现冲击)

| 股票 | 评级 | 洗盘修复分 | 结构增强 | 主题 | 现价 | 止损 | 次日操作 | 决策 |
|------|:----:|:--------:|:------:|------|:---:|:---:|:---:|------|
| 光韵达(300227) | A | 99 | 94 | 军工 | 13.57 | 12.23 |  | 放量突破VWAP关注(未回踩确认) |
| 共进股份(603118) | A | 97 | 94 | AI算力 | 18.60 | 15.71 |  | 放量突破VWAP关注(未回踩确认) |
| 金百泽(301041) | A | 98 | 93 | 军工 | 29.47 | 26.82 |  | 放量突破VWAP关注(未回踩确认) |
| 华曙高科(688433) | A | 96 | 92 | 高端装备 | 111.45 | 93.55 |  | 放量突破VWAP关注(未回踩确认) |
| 腾景科技(688195) | A | 97 | 92 | 智能驾驶 | 196.88 | 165.09 |  | 放量突破VWAP关注(未回踩确认) |
| 洁雅股份(301108) | A | 97 | 92 | - | 40.65 | 36.83 | ⚠️ 次日观察等回踩 | 放量突破VWAP关注(未回踩确认) |
| 智立方(301312) | A | 99 | 92 | 高端装备 | 82.11 | 70.24 | ⚠️ 观察 | 回踩VWAP确认加仓 ⚠️深洗盘99>9 |
| 康盛股份(002418) | A | 96 | 91 | 消费 | 5.39 | 4.71 |  | 放量突破VWAP关注(未回踩确认) |
| 芯朋微(688508) | A | 95 | 91 | 半导体 | 89.64 | 76.31 |  | 放量突破VWAP关注(未回踩确认) |
| 中煤能源(601898) | A | 88 | 91 | 煤炭 | 16.19 | 15.16 |  | 放量突破VWAP关注(未回踩确认) |
| 中石科技(300684) | A | 99 | 91 | AI算力 | 94.50 | 77.70 |  | 放量突破VWAP关注(未回踩确认) |
| 睿创微纳(688002) | A | 94 | 90 | 军工 | 185.00 | 167.05 |  | 回踩VWAP确认加仓 ⚠️深洗盘94>9 |
| 生益科技(600183) | A | 99 | 90 | 半导体 | 153.40 | 132.64 |  | 回踩VWAP确认加仓 ⚠️深洗盘99>9 |
| 联瑞新材(688300) | A | 100 | 90 | 化工 | 193.00 | 160.38 |  | 放量突破VWAP关注(未回踩确认) |
| 矩子科技(300802) | A | 97 | 90 | 机器人 | 24.63 | 22.19 |  | 回踩VWAP确认加仓 ⚠️深洗盘97>9 |
| 航发科技(600391) | A | 88 | 90 | 商业航天 | 34.50 | 31.48 | ⚠️ 观察 | 放量突破VWAP关注(未回踩确认) |
| 安邦护卫(603373) | A | 94 | 90 | 物流 | 42.88 | 38.80 | ⚠️ 观察 | 回踩VWAP确认加仓 ⚠️深洗盘94>9 |
| 潞安环能(601699) | A | 89 | 89 | 煤炭 | 17.95 | 16.55 |  | 放量突破VWAP关注(未回踩确认) |
| 杭电股份(603618) | A | 85 | 89 | 电力 | 34.99 | 30.02 |  | 放量突破VWAP关注(未回踩确认) |
| 神力股份(603819) | S | 89 | 85 | 可控核聚变 | 15.06 | 13.88 |  | 极高胜率重仓买入(中线甜区) |
| 金明精机(300281) | S | 88 | 85 | 高端装备 | 6.70 | 6.28 |  | 极高胜率重仓买入(中线甜区) |
| 剑桥科技(603083) | S | 84 | 84 | AI算力 | 187.60 | 159.52 |  | 极高胜率重仓买入(中线甜区) |
| 粤海饲料(001313) | S | 80 | 82 | - | 8.21 | 7.60 |  | 极高胜率重仓买入(中线甜区) |
